iter	RMSE
0	119.7975364
1	119.1258067
2	118.2481435
3	117.4675225
4	116.9317532
5	116.2822444
6	115.7518811
7	115.2239367
8	114.7889891
9	114.1558846
10	113.6112475
11	112.7778278
12	112.2634481
13	111.7514145
14	111.1252583
15	110.5031186
16	109.8849677
17	109.2483119
18	108.7103822
19	108.0811948
20	107.5882365
21	107.0975266
22	106.6090547
23	106.0722561
24	105.5496073
25	104.9649862
26	104.3461247
27	103.870202
28	103.2359186
29	102.7650595
30	102.2963481
31	101.7105835
32	101.2846172
33	100.5506033
34	100.1160182
35	99.54603264
36	99.05623385
37	98.48655479
38	97.92072354
39	97.47410711
40	96.91466027
41	96.3081461
42	95.71795731
43	95.21543683
44	94.80262103
45	94.33314691
46	93.67133967
47	93.15159689
48	92.74791016
49	92.23818245
50	91.8174841
51	91.39870455
52	90.74634148
53	90.2857745
54	89.77024678
55	89.27304003
56	88.83529441
57	88.32901277
58	87.82613913
59	87.4255641
60	87.06313922
61	86.53810077
62	86.12915742
63	85.73632233
64	85.34527896
65	84.95601914
66	84.36561362
67	83.98082205
68	83.59778552
69	83.1234189
70	82.74429298
71	82.35389599
72	81.78311312
73	81.21771755
74	80.75748559
75	80.19366775
76	79.75225159
77	79.31365368
78	78.9519041
79	78.47980727
80	77.97226886
81	77.61663734
82	77.17943147
83	76.75576918
84	76.23009456
85	75.81221216
86	75.32859421
87	74.98502049
88	74.70825078
89	74.34482104
90	73.92733625
91	73.52278623
92	73.02169682
93	72.61262824
94	72.18438592
95	71.69211477
96	71.30117987
97	70.97597518
98	70.58930208
99	70.19972549
100	69.8179795
101	69.43866231
102	68.96982503
103	68.59566218
104	68.25195584
105	67.8736925
106	67.51805094
107	67.15319486
108	66.79065475
109	66.43041504
110	66.12742592
111	65.82581872
112	65.52558716
113	65.22672496
114	64.86449561
115	64.42935141
116	64.13548913
117	63.85288989
118	63.42597846
119	63.13669257
120	62.84872612
121	62.58241152
122	62.29697314
123	61.96152428
124	61.57347596
125	61.27646457
126	60.92269291
127	60.58712637
128	60.29531529
129	59.9188664
130	59.57447909
131	59.30275989
132	59.03228
133	58.7161097
134	58.43375813
135	58.16724175
136	57.84809814
137	57.57642078
138	57.24708904
139	56.98598507
140	56.61084655
141	56.23931946
142	55.96974686
143	55.71446884
144	55.3907295
145	55.13809239
146	54.87929504
147	54.62899057
148	54.33791639
149	54.04154854
150	53.79506504
151	53.50900609
152	53.26495151
153	53.02201007
154	52.78017668
155	52.49980134
156	52.22120141
157	51.98302051
158	51.67037224
159	51.39668424
160	51.15085883
161	50.86293752
162	50.60194845
163	50.32803438
164	50.09848822
165	49.86998901
166	49.62619699
167	49.39330222
168	49.12324906
169	48.86395405
170	48.64108555
171	48.41923356
172	48.14686388
173	47.92726604
174	47.67453101
175	47.45708748
176	47.2406357
177	46.99178522
178	46.77125494
179	46.54827064
180	46.3033582
181	46.08270956
182	45.87252632
183	45.66330172
184	45.42334044
185	45.21616458
186	44.98557065
187	44.74968777
188	44.54558444
189	44.31226088
190	44.11015265
191	43.91564682
192	43.68588106
193	43.48662976
194	43.25935604
195	43.05625287
196	42.8598733
197	42.66438942
198	42.46979714
199	42.2480724
200	42.0277469
201	41.83605835
202	41.64524408
203	41.4497676
204	41.26071521
205	41.07252508
206	40.88519329
207	40.67220268
208	40.48669676
209	40.29671279
210	40.08701277
211	39.9041759
212	39.71697931
213	39.53583017
214	39.35042169
215	39.14085494
216	38.9623335
217	38.77972681
218	38.60285247
219	38.42678486
220	38.2515203
221	38.07230331
222	37.89865554
223	37.72579977
224	37.55373239
225	37.37784197
226	37.20736163
227	37.03315026
228	36.86424206
229	36.6916935
230	36.52434268
231	36.35344084
232	36.1876328
233	36.022581
234	35.85828201
235	35.69055152
